beat,year,stops
0924,2018,2601
0924,2019,2197
0924,2020,1018
0924,2021,1001
0925,2015,196
0925,2016,381
0925,2017,579
0925,2018,938
0925,2019,1257
0925,2020,559
0925,2021,550
0931,2015,310
0931,2016,876
0931,2017,1874
0931,2018,2501
0931,2019,2065
0931,2020,672
0931,2021,645
0932,2015,239
0932,2016,628
0932,2017,1071
0932,2018,1640
0932,2019,1728
0932,2020,616
0932,2021,561
0933,2015,234
0933,2016,918
0933,2017,1318
0933,2018,1529
0933,2019,1346
0933,2020,504
0933,2021,412
0934,2015,432
0934,2016,1131
0934,2017,1111
0934,2018,1778
0934,2019,2034
0934,2020,872
0934,2021,737
0935,2015,184
0935,2016,491
0935,2017,516
0935,2018,804
0935,2019,1068
0935,2020,410
0935,2021,364
1011,2015,568
1011,2016,1752
1011,2017,2433
1011,2018,3938
1011,2019,3521
1011,2020,3360
1011,2021,4996
1012,2015,279
1012,2016,533
1012,2017,569
1012,2018,1102
1012,2019,1427
1012,2020,1336
1012,2021,1756
1013,2015,431
1013,2016,799
1013,2017,807
1013,2018,837
1013,2019,1599
1013,2020,1692
1013,2021,2131
1014,2015,375
1014,2016,1048
1014,2017,1006
1014,2018,1513
1014,2019,2005
1014,2020,2570
1014,2021,3235
1021,2015,442
1021,2016,1217
1021,2017,1410
1021,2018,1618
1021,2019,1973
1021,2020,2639
1021,2021,4362
1022,2015,422
1022,2016,1107
1022,2017,1275
1022,2018,1686
1022,2019,2240
1022,2020,2496
1022,2021,4388
1023,2015,135
1023,2016,288
1023,2017,678
1023,2018,942
1023,2019,1372
1023,2020,1024
1023,2021,1396
1024,2015,248
1024,2016,657
1024,2017,699
1024,2018,1154
1024,2019,2156
1024,2020,2368
1024,2021,2634
1031,2015,407
1031,2016,965
1031,2017,878
1031,2018,787
1031,2019,1685
1031,2020,1623
1031,2021,2183
1032,2015,407
1032,2016,578
1032,2017,538
1032,2018,867
1032,2019,1652
1032,2020,1704
1032,2021,2519
1033,2015,275
1033,2016,503
1033,2017,585
1033,2018,1331
1033,2019,1894
1033,2020,1886
1033,2021,1787
1034,2015,266
1034,2016,465
1034,2017,657
1034,2018,1286
1034,2019,1610
1034,2020,2281
1034,2021,2433
1111,2015,606
1111,2016,915
1111,2017,1473
1111,2018,2464
1111,2019,3700
1111,2020,2418
1111,2021,2543
1112,2015,1147
1112,2016,1771
1112,2017,3061
1112,2018,3936
1112,2019,7498
1112,2020,6081
1112,2021,6567
1113,2015,589
1113,2016,2476
1113,2017,2844
1113,2018,2704
1113,2019,2942
1113,2020,3896
1113,2021,5785
1114,2015,291
1114,2016,632
1114,2017,593
1114,2018,711
1114,2019,1072
1114,2020,1029
1114,2021,1069
1115,2015,546
1115,2016,2642
1115,2017,1737
1115,2018,2488
1115,2019,4167
1115,2020,4083
1115,2021,5677
1121,2015,564
1121,2016,951
1121,2017,1350
1121,2018,2443
1121,2019,4790
1121,2020,3585
1121,2021,5044
1122,2015,680
1122,2016,1550
1122,2017,2286
1122,2018,3248
1122,2019,6021
1122,2020,4330
1122,2021,4878
1123,2015,392
1123,2016,848
1123,2017,1648
1123,2018,1973
1123,2019,2183
1123,2020,1575
1123,2021,1471
1124,2015,452
1124,2016,625
1124,2017,838
1124,2018,993
1124,2019,1287
1124,2020,978
1124,2021,1087
1125,2015,130
1125,2016,161
1125,2017,325
1125,2018,572
1125,2019,715
1125,2020,578
1125,2021,578
1131,2015,264
